firm,ipo_date,ticker,CUSIP,CRSP perm,post-issue shares,dual dum,Founding,Rollup dum
Green Mountain Coffee,19930921,GMCR,393122106,79588,3219885,0,1981,0
GREEN TREE ACCEPTANCE,19830504,GTAC,39350510,67571,8357000,0,1975,0
Greenbrier,19940711,GBX,393657101,80719,13800000,0,1974,0
Greenery Rehabilitation Group,19851204,GRGI,39479700,88429,5850000,0,1975,0
Greenfield Industries,19930729,GFII,395058100,79387,15811744,0,1986,0
Greenfield Online Inc,20040715,SRVY,395150105,90294,17213563,0,1994,0
Greenhill & Co Inc,20040505,GHL,395259104,90164,30750000,0,1996,0
Greenlight Capital Re Ltd,20070524,GLRE,39536R200,92041,30922602,1,2006,0
Greenman Technologies,19950929,GMTI,395379100,82494,3947333,0,1992,0
"Greenstone, Rabasca, Roberts",19890210,GRRI,395735103,75697,10000000,0,1972,0
Greenville First Bancshares,19991026,GVBK,39607Y100,90358,1100010,0,1999,0
Greenway Medical Tech Inc,20120201,GWAY,39679B103,13227,27846584,0,1998,0
Greenwich Air Services,19931105,GASI,396781106,79833,5000000,0,1973,0
Greenwood Bank of Bethel,19881221,GWBB,397044108,12182,680000,0,1987,0
Greg Manning Auctions,19930514,GMAI,563823103,79167,2600000,0,1981,0
GRIC Communications Inc,19991215,GRIC,398081109,87523,17723311,0,1994,0
GridComm,19850718,GRID,39807500,88437,1927843,0,1984,0
Gridsum Holding Inc,20160923,GSUM,398132100,16298,6521740,1,2005,0
Griffith Consumers,19861112,FUEL,398300103,10841,2400000,0,1900,0
Groundwater Technology,19860724,GWTI,39943D109,10515,4003610,0,1975,1
Group 1 Automotive Inc,19971029,GPI,398905109,85427,13953050,0,1917,1
Group 1 Software,19870122,GSOF,399433101,11036,3300000,0,1986,0
Group Maintenance America,19971106,MAK,3.99E+111,85606,16207998,0,1901,1
Group Technologies,19940518,GRTK,399448109,80534,15578222,0,1988,0
Groupon Inc,20111103,GRPN,399473107,13108,637803328,1,2008,0
Grow Biz International,19930824,GBIZ,399817105,79491,6711125,0,1988,0
Grubb & Ellis Realty Advisors,20060227,GAV,400096202,91139,26709403,0,2005,0
GrubHub Inc,20140404,GRUB,400110102,14567,79772242,0,2004,0
Gruen Marketing,19861007,GMC,400124103,70666,8420000,0,1960,0
Gruene,19880308,GRUN,400128104,11863,1970349,0,1980,0
GRUNTAL FINANCIAL,19831215,GRU,40048410,65613,10220000,0,1983,0
Grupo Aeroportuario Pacifico,20060223,PAC,400506101,91112,561000000,0,1998,0
Grupo Financiero Santander,20120925,SANME,40053C105,13576,6786394913,1,1991,0
Grupo Supervielle SA,20160519,SUPV,40054A108,16077,147083372,1,1992,0
Gryphon Holdings,19931220,GRYP,400515102,79975,8129550,0,1983,0
GSE Holding Inc,20120209,GSE,36191X100,13225,19338454,0,2004,0
GSE Systems,19950727,GSES,36227K106,81869,4000000,0,1971,0
GSI Technology Inc,20070328,GSIT,36241U106,91901,27533940,0,1995,0
GT Bicycles,19951012,GTBX,36229H101,82495,9764586,0,1979,0
GT Group Telecom Inc,20000309,GTTLO,362359408,87772,41097731,1,1996,0
GT Interactive Software,19951214,GTIS,3.62E+113,82704,59296424,0,1992,0
GT Solar International Inc,20080723,SOLR,3.62E+212,92758,142389994,0,1994,0
GTECH CORPORATION,19830720,GTCH,40051610,40222,9087000,0,1980,0
GTECH Holdings,19920722,GTK,400518106,77803,42146885,0,1980,0
GTx Inc,20040202,GTXI,40052B108,90031,24592753,0,1997,0
GTY Technology Holdings Inc,20161028,GTYHU,G4182A102,16464,37500000,1,2016,0
Guangshen Railway,19960510,GSH,40065W107,83450,38030000,0,1984,0
Guarantee Life Companies,19951219,GUAR,400740106,82706,9569000,0,1994,0
Guaranty Bancshares,19850613,GBNC,40076200,88480,1820000,0,1984,0
Guaranty Bancshares Inc,19980518,GNTY,400764106,86067,2913280,0,1913,0
Guaranty National,19911113,GNC,401192109,77119,12454755,0,1983,0
Gucci Group,19951023,GUC,401566104,82300,58500099,0,1923,0
Guess,19960807,GES,401617105,83822,42682000,0,1981,0
"GUEST SUPPLY, INC.",19830810,GEST,40163010,40345,1515000,0,1980,0
Guggenheim Credit Allocation,20130626,GGM,40168G108,13994,0,0,2012,0
Guggenheim Equal Weight Enh,20111027,GEQ,40167M106,13022,8750000,0,2011,0
Guidance Software,20061213,GUID,401692108,91666,22060015,0,1997,0
Guidant Corporation,19941214,GDT,401698105,81126,70000000,0,1972,0
Guidewire Software Inc,20120124,GWRE,40171V100,13181,48892951,0,2001,0
GUILFORD INDUSTRIES,19830202,GILD,40179110,40361,1825000,0,1975,0
Guilford Pharmaceuticals,19940616,GLFD,40182910,80629,3572098,0,1993,0
Guitar Center Inc,19970313,GTRC,402040109,84616,10372804,0,1964,0
Gulf & Mississippi,19861001,GMSR,402054100,10714,1700000,0,1985,0
Gulf Canada Ltd,19800521,,40218L206,32491,0,0,1909,0
Gulf Indonesia Resources,19970929,GRL,402284103,85334,87500000,0,1925,0
Gulf Island Fabrication Inc,19970403,GIFI,402307102,84737,5500000,0,1985,0
GULF NUCLEAR,19811104,GNUC,40243010,40425,2550000,0,1971,0
Gulf South Medical Supply,19940324,GSMS,40252G105,80331,6500004,0,1982,0
GULFSTREAM AEROSPACE,19830408,GACC,40273310,64960,33523000,0,1956,0
Gulfstream Aerospace,19961009,GAC,402734107,84028,73181000,0,1956,0
Gulfstream Int Grp Inc,20071214,GIA,402738108,92484,2839460,0,1999,0
"GULL, INC.",19830816,GULL,402900104,67934,3043000,0,1966,0
Gundle Environmental Systems,19861223,GUN,402806103,70674,4500000,0,1986,0
Gunther International,19931221,SORT,403203102,80038,0,0,1978,0
Gupta,19930204,GPTA,403234107,78890,10908213,0,1984,0
Gurunet Corp,20041013,GRU,403307101,90381,4568051,0,1998,0
Gushan Environmental Energy,20071218,GU,40330W106,92485,166831943,1,2001,0
"GV MEDICAL, INC.",19841113,GVMI,36237210,88234,2204000,0,1983,0
GWC,19851206,GWCC,36237700,88242,10000000,0,1945,0
GWG Holdings Inc,20140922,GWGH,36192A109,14930,5362000,0,2008,0
Gymboree,19930330,GYMB,403777105,78972,11248642,0,1976,0
Gynecare,19951122,GYNE,40377J109,82577,8147113,0,1994,0
GZA GeoEnvironmental,19890727,GZEA,362386104,75657,3513041,0,1964,0
H Power Corp,20000809,HPOW,40427A108,88529,12123000,0,1989,0
H.E. Ventures,19850813,HEVN,40416700,88496,1600000,0,1985,0
H.M.S.S.,19870930,HMSS,403902109,11736,3547558,0,1982,0
H.W. Kaufman Financial Group,19890223,HWKF,486194103,75702,1884925,0,1969,0
H&E Equipment Services Inc,20060130,HEES,404030108,91080,38070141,0,1961,0
H&H OIL TOOL,19811209,HHOT,40404010,40476,3350000,0,1953,0
Ha-Lo Industries,19921028,HALO,404429102,78032,4076428,0,1972,0
HADCO CORP.,19840117,HDCO,40468110,40644,8891000,0,1966,0
Hadson Energy Resources,19900131,HERC,405019100,75931,6000000,0,1986,0
HAEMONETICS,19791016,HAEM,40502210,40716,2153201,0,1971,.
Haemonetics,19910509,HAE,405024100,76837,7575000,0,1971,0
Haggar,19921210,HGGR,405173105,78155,8275236,0,1926,0
Hagler Bailly Inc,19970703,HBIX,405183104,85184,7982516,0,1980,0
Hahn Automotive Warehouse,19930120,HAHN,405191107,78826,3786800,0,1958,0
Hako Minuteman,19870320,HAKO,405326109,11194,3629100,0,1951,0
HALE SYSTEMS,19830621,HSYS,40553510,40759,3092000,0,1979,0
HALIFAX ENGINEERING,19830629,HFAX,40580510,67942,1185000,0,1967,0
Hall Kinion & Associates Inc,19970804,HAKI,406069104,85292,8066955,0,1991,0
Hall-Mark Electronics,19920522,HMEC,406081109,77621,10080333,0,1962,0
Halter Marine Group,19960925,HLX,40642Y105,83990,18000000,0,1972,0
Hambrecht & Quist Group,19960809,HMQ,406545103,83823,22165928,0,1968,0
Hamburger Hamlets Restaurants,19911121,HAMB,406764100,77102,4161400,0,1950,0
Hamilton Bancorp Inc,20121010,HBK,407015106,13642,0,0,2012,0
Hamilton Financial Services,19930525,HFSC,407367101,79169,5667960,0,1992,0
Hammers Plastic Recycling,19930923,HAMR,408310100,79590,3366543,0,1989,0
HAMMOND CO.,19830825,THCO,40835910,40898,2122000,0,1982,0
Hampshire Group,19920617,HAMP,408859106,77685,3296209,0,1917,0
Hamptons Bancshares,19861021,HBSI,409582103,10771,392129,0,1984,0
Hana Biologics,19860605,HANA,409635109,10328,6549949,0,1981,0
Handex Environmental Recovery,19890629,HAND,410243109,75609,5100000,0,1968,0
Handspring Inc,20000620,HAND,410293104,88347,125254000,0,1998,0
Hannon Armstrong,20130417,HASI,41068X100,13843,15945728,0,2012,0
Hanover Compressor,19970630,HC,410768105,85240,27110360,0,1990,0
Hansen Medical Inc,20061115,HNSN,411307101,91613,20553932,0,2002,0
Happiness Express,19940726,HAPY,411381106,80751,6505000,0,1989,0
Happy Kids Inc,19980402,HKID,411391105,85984,9950000,0,1988,0
Harbinger,19950822,HRBC,41145C103,82178,9412457,0,1988,0
Harborside Healthcare,19960611,HBR,411614100,83598,6888889,0,1988,1
Harding Associates,19870819,HRDG,412264103,75557,2858740,0,1959,0
Hardinge Brothers,19950525,HDNG,412324303,81620,6168790,0,1900,0
HARKEN OIL & GAS,19791213,HOGI,41255210,40970,3031277,0,1979,.
Harley-Davidson,19860708,HDI,412822108,70033,5680000,0,1903,0
Harleysville Group,19860523,HGIC,412824104,10290,6875000,0,1979,0
Harman International,19861114,HIII,413086109,75224,8326930,0,1980,0
Harmonia Bancorp,19891107,HBCI,413158106,75852,4750000,0,1900,0
Harmonic Lightwaves,19950522,HLIT,413160102,81621,9693095,0,1988,0
Harmony Brook,19930423,HBRK,413188103,79091,4626738,0,1989,0
Harmony Holdings,19911112,HAHO,413223108,77218,3073330,0,1982,0
Harmony Merger Corp,20150324,HRMNU,413247206,15293,13026250,1,2014,0
Harold's Stores,19870903,HRLD,413353103,11663,3042488,0,1948,0
HARPER GROUP,19770622,HARG,41345910,41014,1962966,0,1961,.
Harper International,19860611,HARP,413462102,70690,3050000,0,1986,0
Harrington Financial Group,19960506,HFGI,413801101,83518,3091625,0,1889,0
Harrington West Financial Grp,20021105,HWFG,41383L10,89568,4327951,0,1983,0
HARRIS & PAULSON,19821217,HAPI,41383410,41049,1750000,0,1977,0
HARRIS GRAPHICS,19841010,HG,41454510,66958,10052000,0,1982,0
Harris Interactive Inc,19991206,HPOL,414549105,87494,31247368,0,1959,0
Harry's Farmers Market,19930519,HARY,415863109,79168,5900001,1,1987,0
Hart Brewing,19951213,HOPS,416009108,82710,8200000,0,1984,0
Harte-Hanks Communications,19931103,HHS,416196103,79903,18129400,0,1920,0
Hartford Life,19970521,HLI,416592103,84778,137000096,1,1968,0
Harvard Bioscience Inc,20001207,HBIO,416906105,88839,24800000,0,1996,0
Harvard Knitwear,19880616,HVDK,417444106,11865,3100000,0,1968,0
Harvest Capital Credit Corp,20130502,HCAP,41753F109,13927,6081056,0,2011,0
Harvey Comics Entertainment,19930618,HRVY,417647104,79271,2874500,0,1989,0
Harvey Electronics Inc,19980401,HRVE,417660107,85987,3457833,0,1926,0
Harvey Universal,19931020,HARV,417816105,79699,4000000,0,1982,0
Harveys Casino Resorts,19940214,HVY,417826104,80199,8886940,0,1944,0
Haskel International,19941101,HSKL,418106100,81086,4605730,1,1946,0
Hastings Entertainment Inc,19980611,HAST,418365102,86209,11736914,0,1968,0
Hatteras Financial Corp,20080424,HTS,41902R103,92620,25276037,0,2007,0
Havana Group Inc,19980514,HVGPU,419209101,.,1460000,0,1957,0
Hawk Corp,19980512,HWK,420089104,86017,9187750,1,1989,1
Hawker Pacific Aerospace,19980129,HPAC,420123101,85732,5520551,0,1980,0
Hayes Wheels International,19921216,HAY,420804106,78796,16344000,0,1908,0
Haynes International Inc,20070319,HAYN,420877201,91902,11400000,0,1912,0
HBO & COMPANY,19810630,HBOC,40410010,40484,4816000,0,1974,0
HCA Holdings Inc,20110309,HCA,40412C101,12622,515205100,0,1968,0
HCA-Hospital Corp of America,19920226,HCA,404120107,77370,147480000,1,1968,0
HCC Insurance Holdings,19921028,HCCH,404132102,78033,3884118,1,1974,0
HCIA,19950222,HCIA,403908106,81252,7187005,0,1985,0
HCW OIL & GAS INC.,19831115,HCWO,40414010,40513,5678000,0,1981,0
HD Partners Acquisition Corp,20060604,HDP,40415K100,91415,23437500,0,2005,0
HD Supply Holdings Inc,20130626,HDS,40416M105,13957,191748878,0,1933,0
HDR Power Systems,19861119,HDRP,404148108,10869,1985000,0,1981,0
He-Ro Group,19910919,HRG,422047100,77144,6453333,0,1981,0
Head NV,20000928,HED,422070102,88616,39800000,0,1950,0
HeadHunter.NET Inc,19990819,HHNT,422077107,87164,10744500,0,1995,0
"Headlands Mortgage Corp, CA",19980204,HDLD,421980103,85828,18500000,0,1981,0
HEALTH CARE & RETIRMNT,19811210,HCRX,42190110,41284,2857000,0,1944,0
Health Care and Retirement,19911017,HCR,421937103,77063,15773622,0,1944,0
Health Concepts IV,19870709,HCFI,421927203,11523,2700000,0,1986,0
Health Fitness Physical,19941114,HFPT,42217V102,81085,5341571,0,1981,0
Health Image Media,19921020,RXRX,421944109,78000,2199986,0,1992,0
Health Images,19850730,HIMG,42217800,88605,3305850,0,1982,0
HEALTH INFORMATION,19801106,HISI,42218010,41340,1100000,0,1978,0
Health Ins Innovations Inc,20130207,HIIQ,42225K106,13794,13333334,1,2003,0
Health Management Associates,19860620,HMA,421922105,69470,3395970,0,1977,1
Health Management Associates,19910205,HMAIA,421933102,76565,10782000,1,1979,1
Health Management Systems,19921217,HMSY,42219M100,78156,5272152,0,1974,0
Health o meter Products,19920317,SCAL,421941105,77411,5527976,0,1919,0
Health Power,19940303,HPWR,42219G103,80333,3123883,0,1985,0
HEALTH RESOURCES,19840210,HRCA,42190810,41305,7147000,0,1981,0
Health Risk Management,19901219,HRMI,421935107,76505,3378154,0,1977,0
Health Systems Design,19960305,HSDC,421964107,83271,6058446,0,1988,0
HEALTHAMERICA CORP.,19830728,HMOH,42219910,67600,8592000,0,1980,0
Healthcare Acquisition Corp,20050728,HAQ.U,42224H104,90926,11250000,1,2005,.
HealthCare COMPARE,19870529,HCCC,421928102,11371,4125333,0,1982,0
HealthCare Financial Partners,19961122,HCFP,42219W10,84217,5900000,0,1993,0
"Healthcare Imaging Services,",19911112,HISS,421939109,77219,3300000,0,1991,0
Healthcare International,19851025,HII,42192000,68486,8843658,1,1979,0
Healthcare Recoveries Inc,19970521,HCRI,42220K101,84811,9800000,0,1988,0
HEALTHCARE SERVICES,19831122,HCSG,42190610,41292,1378000,0,1976,0
Healthcare Services of America,19850815,HSAI,42191900,88592,7765262,0,1983,0
Healthcentral.com Inc,19991207,HCEN,42221V106,87491,19720631,0,1997,0
Healthco International,19851213,HLCO,42220000,88613,7695212,0,1969,0
HealthCor Holdings,19960808,HCOR,422201103,83870,9553204,0,1984,0
Healthdesk Corp,19970117,HDSK,42220T102,84424,5389720,0,1992,0
HEALTHDYNE,19811208,HDYN,42220310,41356,2490000,0,1970,0
Healthdyne Technologies,19930622,HDTC,422206102,79269,9025000,0,1978,0
Healtheon Corp,19990210,HLTH,422209106,86721,59422868,0,1995,0
HealthEquity Inc,20140731,HQY,42226A107,14803,49596105,0,2002,0
Healthetech Inc,20020712,HETC,42221010,89448,19459450,1,1998,0
Healthextras Inc,19991214,HLEX,422211102,87492,27600000,0,1996,0
HealthGate Data Corp,20000125,HGAT,42222H106,87561,17835000,0,1994,0
HEALTHGROUP INT'L,19830908,HGIS,42221310,41372,1950000,0,1979,0
HealthInfusion,19900523,HINF,42221C108,76175,4000000,0,1988,0
HealthPlan Services,19950519,HPS,421959107,81656,9895357,0,1970,0
Healthsource,19891102,HLTH,4.22E+108,75850,5442900,0,1985,1
HealthSouth Rehabilitation,19860924,HSRC,421924101,10693,7568526,0,1984,1
HealthSpring Inc,20060202,HS,42224N101,91113,57289549,0,2000,0
HealthStream Inc,20000411,HSTM,42222N103,88167,19483032,0,1990,0
HealthTrust Inc-The Hospital,19911212,HTI,42221H107,77151,81900000,0,1985,0
HealthWays Systems,19850308,HWSI,42191200,88576,1955000,0,1984,0
HealthWorld Corp,19971121,HWLD,4.22E+107,85555,7100000,0,1996,1
Heart Federal Savings & Loan,19851122,HFED,42233400,88640,1840000,0,1900,0
Heart Technology,19920302,HRTT,42233W100,77380,13775800,0,1989,0
Heartland Express,19861105,HTLD,422347104,10812,5000000,0,1978,0
Heartland Payment Systems Inc,20050810,HPY,42235N108,90833,32406460,0,1997,0
Heartland Wireless,19940421,HART,42235W108,80448,10755150,0,1993,0
Heartport,19960425,HPRT,421969106,83379,28441411,0,1991,0
Heartstream,19960131,HTST,421963109,82853,10759115,0,1992,0
Heat Biologics Inc,20130723,HTBX,42237K102,14051,6186942,0,2008,0
Hebron Technology Co Ltd,20161223,HEBT,G4418R101,16524,14695442,0,2001,0
Heckmann Corp,20071112,HEK.U,422680207,92395,62500000,0,2007,0
Heekin Can,19850906,HEKN,42279100,88656,3250000,0,1901,0
Heelys,20061208,HLYS,42279M107,91667,27028875,0,2000,0
Heftel Broadcasting,19940727,HBCCA,422799106,80752,9839927,1,1992,0
HEI,19810324,HEII,40416010,40540,951000,0,1968,0
HEI CORPORATION,19830802,HEIC,40415910,40521,5415000,0,1978,0
Heidrick & Struggles Intl,19990427,HSII,422819102,86827,14528274,0,1953,0
Helian Health Group,19891122,HHGR,423264100,76072,3750000,0,1976,0
Helicos BioSciences Corp,20070523,HLCS,42326R109,92042,20519975,0,2003,0
Helisys,19960307,HELI,423282102,83269,3899903,0,1985,0
Helix BioCore,19900613,HLIX,423284108,76367,7342390,0,1987,0
Heller Financial Inc,19980430,HF,423328103,86018,84550000,1,1919,0
Hello Direct,19950407,HELO,423402106,81563,4706055,0,1987,0
Help At Home,19951205,HAHI,422913103,82707,1762500,0,1995,0
HemaCare,19861022,HEMA,423498104,10775,2940216,0,1979,0
Hemagen Diagnostics,19930204,HMGN,423501105,78891,3000000,0,1985,0
HemaSure,19940407,HMSR,423504109,80452,5175000,0,1993,0
Hemodynamics,19861222,HMDY,423688100,10992,1200000,0,1985,0
HemoSense Inc,20050628,HEM,423691104,90759,9533764,0,1997,0
Henley Group,19860520,HENG,425503109,10278,105385000,0,1985,0
Henley International,19900202,HINT,42550P100,76075,2650334,0,1976,0
Hennessy Capital Acq Corp II,20150723,HCACU,42588J209,15654,21875000,1,2015,0
Henry Schein,19951103,HSIC,806407102,82581,18316161,0,1992,0
Herbalife Ltd,20041215,HLF,G4412G101,90516,68119291,0,1946,0
HERC Products,19940510,HERC,404165102,80536,2250000,0,1986,0
Hercules Offshore Inc,20051026,HERO,427093109,90951,30242850,0,2004,0
HERITAGE FEDERAL S&L,19831215,HFLA,42723810,88672,1934000,0,1934,0
Heritage Financial Services,19861014,HERS,42723H100,10757,3358664,0,1986,0
Heritage Insurance Hldg LLC,20140523,HRTG,42727J102,14625,29196716,0,2012,0
Heritage Media,19880923,HTG,427241104,75348,18381594,1,1971,1
Heritage Propane Prtnrs LP,19960625,HPG,426918108,84400,-9,0,1996,0
Heritage-Crystal Clean Inc,20080311,HCCI,42726M106,92588,10448290,0,1999,0
Herman's Sporting Goods,19850322,HER,42749200,67256,11100000,0,1964,0
Hersha Hospitality Trust,19990121,HT,427825104,86563,5797000,0,1998,0
Hertz Corp,19970424,HRZ,428040109,84663,108267000,1,1923,0
Hertz Global Holdings Inc,20061115,HTZ,42805T105,91575,320618692,0,1918,0
Heska Corp,19970630,HSKA,4.28E+112,85187,6114904,0,1988,0
Hewitt Associates Inc,20020626,HEW,42822Q10,89431,98879000,1,1940,0
HF2 Financial Management Inc,20130321,HTWO,40421A104,13827,20539875,1,2012,0
HFF,20070130,HF,40418F108,91692,36800000,1,1982,0
HHB Systems,19871008,HHBX,404188104,11768,4477773,0,1977,0
hhgregg Inc,20070719,HGG,42833L108,92177,32241600,0,1955,0
Hi-Crush Partners LP,20120815,HCLP,428337109,13544,27280702,1,2012,0
Hi-Lo Automotive,19910509,HILO,42839D100,76657,4938452,0,1956,0
HI-Q Wason,19990921,HIQW,G4509W100,87234,1371429,0,1995,0
Hi-Rise Recycling,19930722,HIRI,428396105,79391,3000000,0,1990,0
Hi-Shear Technology,19940324,HSR,42839Y104,80393,6500000,0,1950,0
Hi-Tech Pharmacal,19920803,HITK,42840B101,77830,2600000,0,1983,0
Hibbett Sporting Goods,19961010,HIBB,428565105,84084,5834306,0,1945,0
Hicks Acquisition Co I Inc,20070928,TOH,429086309,92333,60000000,0,2007,0
Hicks Acquisition Co II Inc,20101011,HKACU,,13276,17142857,1,2010,0
High Resolution Sciences,19870505,HIRS,429789209,11298,1000000,0,1977,0
High Speed Access Corp,19990604,HSAC,42979U102,86972,51841898,0,1997,0
Highbury Financial Inc,20060125,HBRY,42982Y109,.,9635000,0,2006,0
Higher One Holdings Inc,20100616,ONE,42983D10,93418,55071499,0,2000,0
Highland Credit Strategies,20060623,HCF,43005Q107,91301,0,0,2006,0
Highland Hospitality Corp.,20031216,HIH,430141101,89953,35240000,0,2003,0
Highland Superstores,19850509,HIGH,43077100,88701,17920550,0,1947,0
Highlands Acquisition Corp,20071003,HIA,430880203,92334,15000000,0,2007,0
HighwayMaster Communications,19950622,HWYM,431263102,81713,22333683,0,1992,0
Hiland Holdings GP LP,20060919,HPGP,43129M107,91490,21612000,0,1990,0
Hiland Partners LP,20050210,HLND,431291103,90597,6800000,0,1905,0
Hilb Rogal & Hamilton,19870715,HRHC,431294107,11509,3316696,0,1982,0
Hilite Industries,19940124,HILI,431353101,80132,4750000,0,1986,0
Hills Department Stores,19870708,HDS,431659101,75170,18175000,0,1920,0
Hilton Worldwide Holdings Inc,20131212,HLT,43300A104,14338,1002261478,0,1919,0
Himax Technologies Inc,20060330,HIMX,43289P106,91163,194650633,0,2001,0
Himedics,19890207,HMED,432897205,75693,11536544,0,1982,0
HIMONT,19870212,HMT,432899102,72055,64750000,0,1983,0
HINDERLITER ENRGY,19811105,HND,43307810,63618,1622000,0,1950,0
Hines Horticulture Inc,19980622,HORT,433245107,86171,22070000,0,1920,1
Hingham Institution for Svngs,19881213,HIFS,433323102,12189,1250000,0,1900,0
HireRight Inc,20070807,HIRE,433538105,92219,11221898,0,1995,0
Hirsch International,19940217,HRSH,433550100,80245,4406250,1,1970,0
HiSoft Tech Intl Ltd,20100629,HSFT,43358R10,93431,-9,1,1996,0
Histogenics Corp,20141203,HSGX,43358V109,15132,12756805,0,2000,0
Hitox Corporation of America,19881214,HTXA,433658101,12190,3006437,0,1980,0
Hittite Microwave Corp,20050721,HITT,43365Y104,90814,27883985,0,1985,0
HLM Design Inc,19980612,HLMD,404217101,86170,2074887,0,1997,1
HMT Technology,19960313,HMTT,403917107,83270,38060716,0,1989,0
HNC Software,19950620,HNCS,40425P107,81712,6546931,0,1986,0
Hoegh LNG Partners LP,20140807,HMLP,Y3262R100,14857,0,1,2014,0
Hoenig Group,19911030,HOEN,434396107,77029,10000000,0,1991,0
HOGAN SYSTEMS,19821210,HOGN,43460210,42084,5510000,0,1977,0
HOH Water Technology,19870625,HOHI,404261208,11460,4697227,0,1982,0
Hoku Scientific Inc,20050805,HOKU,434712105,90863,15958321,0,2001,0
Holiday RV Superstores,19871027,RVEE,434902102,75563,6750000,0,1978,0
Hollywood Casino,19930528,HWCC,436132203,79171,18100000,1,1990,0
Hollywood Entertainment,19930716,HLYW,436141105,79392,5825080,0,1988,0
Hollywood Productions,19960910,FILM,436266100,83933,5974608,0,1995,0
Hologic,19900301,HOLX,436440101,76095,3781524,0,1985,0
HoloPak Technologies,19910920,HOLO,436451108,76844,3730110,0,1979,0
Holophane Corp,19931028,HLPH,43645B106,79700,7883385,0,1989,0
Holson Burnes Group,19920520,HBGI,436464101,77620,6001835,0,1942,0
Holt's Cigar Holding Inc,19971124,HOLT,436598106,85553,5770000,0,1898,0
Home & City Savings Bank,19860206,HCSB,436878102,10034,2500000,0,1900,0
"Home Bancshares Inc,Conway,AR",20060622,HOMB,436893200,91356,14629355,0,1998,0
Home Centers (DIY),19951221,HOMEF,M5307010,82709,4720000,0,1992,0
Home Club,19851029,HCLB,43738700,88744,10006830,0,1983,0
HOME DEPOT,19810922,HOMD,43707610,66181,2664000,0,1978,0
Home Diagnostics Inc,20060920,HDIX,436932107,91466,17580966,0,1985,0
Home Fed S&L Assn Upper E TN,19861010,HFET,436910103,10754,4200000,0,1934,0
HOME FED. BANK OF FL,19840518,HFBF,43690310,42220,4306000,0,1954,0
HOME FED. SAN DIEGO,19830330,HFED,43708610,66202,18700000,0,1934,0
HOME FED./ROCKIES,19830510,HROK,43708510,42295,500000,0,1934,0
HOME FEDERAL OF TUCSON,19830329,HMAZ,43708710,42316,2802000,0,1937,0
HOME FEDERAL S&L MD,19840201,HFMD,43690210,42201,399000,0,1901,0
Home Federal Savings Bank IN,19880114,HOMF,436916100,11866,800000,0,1908,0
Home Federal Savings Bank MO,19900425,HFMO,436924104,76140,1212121,0,1950,0
HOME HEALTH CARE,19820303,HHCA,43713310,42324,5813000,0,1979,0
Home Health Corp of America,19951108,HHCA,436936108,82579,7413844,0,1982,0
Home Holdings,19931215,HHI,436934103,80091,9977013,0,1990,0
Home Inns & Hotels Management,20061025,HMIN,43713W107,91502,-9,.,2001,0
Home Loan Servicing Solutions,20120228,HLSS,G6648D109,13277,14067618,0,2010,0
Home Nutritional Services,19891214,HNSI,437264104,75907,11800000,0,1980,0
Home Office Reference Lab,19870722,HORL,437267107,11534,15000000,0,1972,0
HOME OWNERS FED.,19840524,HFSL,43728510,42359,1343000,0,1937,0
Home Port Bancorp,19880823,HPBC,437304108,12031,2000000,0,1900,0
Home Savings Bank,19861120,HMSB,436911101,10877,11900000,0,1905,0
Home Security International,19970715,HSI,437333107,85241,5000000,0,1990,0
Home Shopping Network,19860513,HSN,437351109,69489,13830820,0,1983,0
Home State Holdings,19930812,HOMS,437368103,79496,5450000,0,1987,0
Home Unity S&L,19861030,HUSB,437377104,10798,1900000,0,1900,0
HomeAway Inc,20110628,AWAY,43739Q100,12882,79829804,0,2005,0
HomeCom Communications Inc,19970506,HCOM,43738N108,84810,2956396,0,1994,0
HOMECRAFTERS WHRSE.,19840125,HCWH,43739110,42383,2822000,0,1980,0
Homedco Group,19910502,HOME,43739A105,76653,10880829,0,1970,0
Homegate Hospitality,19961023,HMGT,43740G109,84085,10724027,0,1996,0
HomeGrocer.com,20000309,HOMG,43740K100,87775,124812000,0,1997,0
Homeowners Group,19880715,HOMG,43739N107,12193,5962252,0,1980,0
Homeservices Com Inc,19991007,HMSV,437606106,87323,10422943,0,1985,0
HomeSide Inc,19970130,HSL,437608102,84391,42175792,1,1991,0
Homestore.com Inc,19990804,HOMS,437852106,87165,67037860,0,1993,0
Homestreet Inc,20120210,HMST,43785V102,13278,3868324,0,1921,0
Homestyle Buffet,19880512,HBUF,437853104,11868,2818171,0,1986,0
Hometown Auto Retailers Inc,19980728,HCAR,437858103,86266,9400000,1,1993,1
HomeTown Buffet,19930923,HTBB,437862105,79594,6523510,0,1990,0
HomeUSA Inc,19971121,HSH,437881105,85609,15441887,0,1996,1
Honeybee,19861219,HBE,438461105,70711,2630431,0,1978,0
Hong Kong Highpower Tech Inc,20080619,HPJ,43858B108,92696,13483846,0,2003,0
Hook-SupeRx,19920603,HSX,439006107,77723,20691742,0,1961,0
HOOPER HOLMES INC.,19840726,HOOP,43910410,42455,1224000,0,1900,0
Hoover's Inc,19990721,HOOV,439321100,87109,10340725,0,1994,0
HOP-IN FOOD STORES,19770616,HOPN,43933610,42490,184657,0,1966,.
Horace Mann Educators,19911114,HOME,440327104,77120,28096389,0,1945,0
